id,author/disease,gene,article_count
128,Banerjee-Basu S/Asperger syndrome,homeobox A1,1
129,Baron-Cohen S/Asperger syndrome,homeobox A1,3
130,Castagnola M/Asperger syndrome,statherin,2
131,Messana I/Asperger syndrome,statherin,2
132,Inzitari R/Asperger syndrome,statherin,2
133,Fanali C/Asperger syndrome,statherin,2
134,Cabras T/Asperger syndrome,statherin,2
135,Morelli A/Asperger syndrome,statherin,2
136,Pecoraro AM/Asperger syndrome,statherin,2
137,Neri G/Asperger syndrome,statherin,2
138,Torrioli MG/Asperger syndrome,statherin,2
139,Gurrieri F/Asperger syndrome,statherin,2
140,Castagnola M/Asperger syndrome,histatin 1,2
141,Messana I/Asperger syndrome,histatin 1,2
142,Inzitari R/Asperger syndrome,histatin 1,2
143,Fanali C/Asperger syndrome,histatin 1,2
144,Cabras T/Asperger syndrome,histatin 1,2
145,Morelli A/Asperger syndrome,histatin 1,2
146,Pecoraro AM/Asperger syndrome,histatin 1,2
147,Neri G/Asperger syndrome,histatin 1,2
148,Torrioli MG/Asperger syndrome,histatin 1,2
149,Gurrieri F/Asperger syndrome,histatin 1,2
150,Yan J/Asperger syndrome,neuroligin 3,1
151,Feng J/Asperger syndrome,neuroligin 3,1
152,Schroer R/Asperger syndrome,neuroligin 3,1
153,Li W/Asperger syndrome,neuroligin 3,1
154,Skinner C/Asperger syndrome,neuroligin 3,1
155,Schwartz CE/Asperger syndrome,neuroligin 3,1
156,Cook EH Jr/Asperger syndrome,neuroligin 3,2
157,Sommer SS/Asperger syndrome,neuroligin 3,1
158,Wermter AK/Asperger syndrome,neuroligin 3,2
159,Kamp-Becker I/Asperger syndrome,neuroligin 3,2
160,Strauch K/Asperger syndrome,neuroligin 3,2
161,Schulte-Korne G/Asperger syndrome,neuroligin 3,2
162,Remschmidt H/Asperger syndrome,neuroligin 3,2
163,Al-Ayadhi LY/Asperger syndrome,tumor necrosis factor,1
164,Novotny S/Asperger syndrome,prolactin,1
165,Hollander E/Asperger syndrome,prolactin,1
166,Phillips A/Asperger syndrome,prolactin,1
167,Allen A/Asperger syndrome,prolactin,1
168,Wasserman S/Asperger syndrome,prolactin,1
169,Iyengar R/Asperger syndrome,prolactin,1
170,Muhle R/Asperger syndrome,oxytocin receptor,1
171,Trentacoste SV/Asperger syndrome,oxytocin receptor,1
172,Rapin I/Asperger syndrome,oxytocin receptor,1
173,Conciatori M/Asperger syndrome,homeobox A1,1
174,Stodgell CJ/Asperger syndrome,homeobox A1,1
175,Hyman SL/Asperger syndrome,homeobox A1,1
176,O'Bara M/Asperger syndrome,homeobox A1,1
177,Militerni R/Asperger syndrome,homeobox A1,1
178,Bravaccio C/Asperger syndrome,homeobox A1,1
179,Trillo S/Asperger syndrome,homeobox A1,1
180,Montecchi F/Asperger syndrome,homeobox A1,1
181,Schneider C/Asperger syndrome,homeobox A1,1
182,Melmed R/Asperger syndrome,homeobox A1,1
183,Elia M/Asperger syndrome,homeobox A1,1
184,Crawford L/Asperger syndrome,homeobox A1,1
185,Spence SJ/Asperger syndrome,homeobox A1,1
186,Muscarella L/Asperger syndrome,homeobox A1,1
187,Guarnieri V/Asperger syndrome,homeobox A1,1
188,D'Agruma L/Asperger syndrome,homeobox A1,1
189,Quattrone A/Asperger syndrome,homeobox A1,1
190,Zelante L/Asperger syndrome,homeobox A1,1
191,Rabinowitz D/Asperger syndrome,homeobox A1,1
192,Pascucci T/Asperger syndrome,homeobox A1,1
193,Puglisi-Allegra S/Asperger syndrome,homeobox A1,1
194,Reichelt KL/Asperger syndrome,homeobox A1,1
195,Rodier PM/Asperger syndrome,homeobox A1,1
196,Persico AM/Asperger syndrome,homeobox A1,1
197,Collins JS/Asperger syndrome,homeobox A1,1
198,Schroer RJ/Asperger syndrome,homeobox A1,1
199,Bird J/Asperger syndrome,homeobox A1,1
200,Michaelis RC/Asperger syndrome,homeobox A1,1
201,Dubisar BM/Asperger syndrome,multiple sclerosis,1
202,Stoner SC/Asperger syndrome,multiple sclerosis,1
203,Khan R/Asperger syndrome,multiple sclerosis,1
204,Farrar CD/Asperger syndrome,multiple sclerosis,1
205,Devlin B/Asperger syndrome,homeobox A1,1
206,Bennett P/Asperger syndrome,homeobox A1,1
207,Cook EH Jr/Asperger syndrome,homeobox A1,2
208,Dawson G/Asperger syndrome,homeobox A1,1
209,Gonen D/Asperger syndrome,homeobox A1,1
210,Grigorenko EL/Asperger syndrome,homeobox A1,1
211,McMahon W/Asperger syndrome,homeobox A1,1
212,Pauls D/Asperger syndrome,homeobox A1,1
213,Smith M/Asperger syndrome,homeobox A1,1
214,Spence MA/Asperger syndrome,homeobox A1,1
215,Schellenberg GD/Asperger syndrome,homeobox A1,1
216,Manning JT/Asperger syndrome,androgen receptor,1
217,Bundred PE/Asperger syndrome,androgen receptor,1
218,Flanagan BF/Asperger syndrome,androgen receptor,1
219,AU não encontrado/Asperger syndrome,homeobox A1,1
220,Stip E/Asperger syndrome,hypoparathyroidism,1
221,Black N/Asperger syndrome,hypoparathyroidism,1
222,Ekoe JM/Asperger syndrome,hypoparathyroidism,1
223,Mottron L/Asperger syndrome,hypoparathyroidism,1
224,Akefeldt A/Asperger syndrome,hypomelanosis of Ito,1
225,Gillberg C/Asperger syndrome,hypomelanosis of Ito,1
226,Subramaniam S/Atypical autism,huntingtin,1
227,Boregowda S/Atypical autism,huntingtin,1
228,Dumitriu D/Atypical autism,C-reactive protein,1
229,Baldwin E/Atypical autism,C-reactive protein,1
230,Coenen RJJ/Atypical autism,C-reactive protein,1
231,Hammond LA/Atypical autism,C-reactive protein,1
232,Peterka DS/Atypical autism,C-reactive protein,1
233,Heilbrun L/Atypical autism,C-reactive protein,1
234,Frye RE/Atypical autism,C-reactive protein,1
235,Palmer R/Atypical autism,C-reactive protein,1
236,Norrman HN/Atypical autism,C-reactive protein,1
237,Fridell A/Atypical autism,C-reactive protein,1
238,Remnelius KL/Atypical autism,C-reactive protein,1
239,Isaksson J/Atypical autism,C-reactive protein,1
240,Austin C/Atypical autism,C-reactive protein,1
241,Curtin P/Atypical autism,C-reactive protein,1
242,Bolte S/Atypical autism,C-reactive protein,1
243,Arora M/Atypical autism,C-reactive protein,1
244,Morel C/Atypical autism,oxytocin receptor,1
245,Martinez Sanchez I/Atypical autism,oxytocin receptor,1
246,Cherifi Y/Atypical autism,oxytocin receptor,1
247,Chartrel N/Atypical autism,oxytocin receptor,1
248,Diaz Heijtz R/Atypical autism,oxytocin receptor,1
249,de Oliveira Ferreira E/Atypical autism,synaptophysin,1
250,Pessoa Gomes JM/Atypical autism,synaptophysin,1
251,Neves KRT/Atypical autism,synaptophysin,1
252,Lima FAV/Atypical autism,synaptophysin,1
253,de Barros Viana GS/Atypical autism,synaptophysin,1
254,de Andrade GM/Atypical autism,synaptophysin,1
255,Rawlings-Mortimer F/Atypical autism,myelin regulatory factor,1
256,Gullino LS/Atypical autism,myelin regulatory factor,1
257,Ruhling S/Atypical autism,myelin regulatory factor,1
258,Ashton A/Atypical autism,myelin regulatory factor,1
259,Barkus C/Atypical autism,myelin regulatory factor,1
260,Johansen-Berg H/Atypical autism,myelin regulatory factor,1
261,Caria A/Atypical autism,arginine vasopressin,2
262,Maurer MH/Atypical autism,adhesion G protein-coupled receptor L3,1
263,Kohler A/Atypical autism,adhesion G protein-coupled receptor L3,1
264,Hudemann M/Atypical autism,adhesion G protein-coupled receptor L3,1
265,Jungling J/Atypical autism,adhesion G protein-coupled receptor L3,1
266,Biskup S/Atypical autism,adhesion G protein-coupled receptor L3,1
267,Menzel M/Atypical autism,adhesion G protein-coupled receptor L3,1
268,Lombardo B/Atypical autism,D-aspartate oxidase,1
269,Pagani M/Atypical autism,D-aspartate oxidase,1
270,De Rosa A/Atypical autism,D-aspartate oxidase,1
271,Nunziato M/Atypical autism,D-aspartate oxidase,1
272,Migliarini S/Atypical autism,D-aspartate oxidase,1
273,Garofalo M/Atypical autism,D-aspartate oxidase,1
274,Terrile M/Atypical autism,D-aspartate oxidase,1
275,D'Argenio V/Atypical autism,D-aspartate oxidase,1
276,Galbusera A/Atypical autism,D-aspartate oxidase,1
277,Nuzzo T/Atypical autism,D-aspartate oxidase,1
278,Ranieri A/Atypical autism,D-aspartate oxidase,1
279,Vitale A/Atypical autism,D-aspartate oxidase,1
280,Leggiero E/Atypical autism,D-aspartate oxidase,1
281,Di Maio A/Atypical autism,D-aspartate oxidase,1
282,Barsotti N/Atypical autism,D-aspartate oxidase,1
283,Borello U/Atypical autism,D-aspartate oxidase,1
284,Napolitano F/Atypical autism,D-aspartate oxidase,1
285,Mandarino A/Atypical autism,D-aspartate oxidase,1
286,Carotenuto M/Atypical autism,D-aspartate oxidase,1
287,Heresco-Levy U/Atypical autism,D-aspartate oxidase,1
288,Pasqualetti M/Atypical autism,D-aspartate oxidase,1
289,Malatesta P/Atypical autism,D-aspartate oxidase,1
290,Gozzi A/Atypical autism,D-aspartate oxidase,1
291,Errico F/Atypical autism,D-aspartate oxidase,1
292,Salvatore F/Atypical autism,D-aspartate oxidase,1
293,Pastore L/Atypical autism,D-aspartate oxidase,1
294,Usiello A/Atypical autism,D-aspartate oxidase,1
295,Simpson D/Atypical autism,translocator protein,2
296,Gharehgazlou A/Atypical autism,translocator protein,2
297,Da Silva T/Atypical autism,translocator protein,2
298,Labrie-Cleary C/Atypical autism,translocator protein,2
299,Wilson AA/Atypical autism,translocator protein,2
300,Meyer JH/Atypical autism,translocator protein,2
301,Mizrahi R/Atypical autism,translocator protein,2
302,Rusjan PM/Atypical autism,translocator protein,2
303,Simpson D/Atypical autism,multiple sclerosis,2
304,Gharehgazlou A/Atypical autism,multiple sclerosis,2
305,Da Silva T/Atypical autism,multiple sclerosis,2
306,Labrie-Cleary C/Atypical autism,multiple sclerosis,2
307,Wilson AA/Atypical autism,multiple sclerosis,2
308,Meyer JH/Atypical autism,multiple sclerosis,2
309,Mizrahi R/Atypical autism,multiple sclerosis,2
310,Rusjan PM/Atypical autism,multiple sclerosis,2
311,Contractor A/Atypical autism,parvalbumin,2
312,Ethell IM/Atypical autism,parvalbumin,2
313,Portera-Cailliau C/Atypical autism,parvalbumin,2
314,Razak KA/Atypical autism,parvalbumin,1
315,Binder DK/Atypical autism,parvalbumin,1
316,Ethell IM/Atypical autism,parvalbumin,2
317,Wang X/Atypical autism,oxytocin receptor,1
318,Escobar JB/Atypical autism,oxytocin receptor,1
319,Mendelowitz D/Atypical autism,oxytocin receptor,1
320,Tempesta AJ/Atypical autism,multiple sclerosis,1
321,Miller CE/Atypical autism,multiple sclerosis,1
322,Litvak V/Atypical autism,multiple sclerosis,1
323,Bowman H/Atypical autism,multiple sclerosis,1
324,Schofield AJ/Atypical autism,multiple sclerosis,1
325,Frei JA/Atypical autism,FAT atypical cadherin 1,1
326,Brandenburg C/Atypical autism,FAT atypical cadherin 1,1
327,Nestor JE/Atypical autism,FAT atypical cadherin 1,1
328,Hodzic DM/Atypical autism,FAT atypical cadherin 1,1
329,Plachez C/Atypical autism,FAT atypical cadherin 1,1
330,McNeill H/Atypical autism,FAT atypical cadherin 1,1
331,Dykxhoorn DM/Atypical autism,FAT atypical cadherin 1,1
332,Nestor MW/Atypical autism,FAT atypical cadherin 1,1
333,Blatt GJ/Atypical autism,FAT atypical cadherin 1,1
334,Lin YC/Atypical autism,FAT atypical cadherin 1,1
335,Ahern TH/Atypical autism,oxytocin receptor,1
336,Olsen S/Atypical autism,oxytocin receptor,1
337,Tudino R/Atypical autism,oxytocin receptor,1
338,Beery AK/Atypical autism,oxytocin receptor,1
339,Fadila/Atypical autism,methylenetetrahydrofolate reductase,1
340,Suman P/Atypical autism,methylenetetrahydrofolate reductase,1
341,Kumar P/Atypical autism,methylenetetrahydrofolate reductase,1
342,Omair F/Atypical autism,methylenetetrahydrofolate reductase,1
343,Dai L/Atypical autism,insulin,1
344,Weiss RB/Atypical autism,insulin,1
345,Dunn DM/Atypical autism,insulin,1
346,Ramirez A/Atypical autism,insulin,1
347,Paul S/Atypical autism,insulin,1
348,Korenberg JR/Atypical autism,insulin,1
349,Ibi D/Atypical autism,synaptoporin,1
350,Nakasai G/Atypical autism,synaptoporin,1
351,Koide N/Atypical autism,synaptoporin,1
352,Sawahata M/Atypical autism,synaptoporin,1
353,Kohno T/Atypical autism,synaptoporin,1
354,Takaba R/Atypical autism,synaptoporin,1
355,Nagai T/Atypical autism,synaptoporin,1
356,Hattori M/Atypical autism,synaptoporin,1
357,Nabeshima T/Atypical autism,synaptoporin,1
358,Yamada K/Atypical autism,synaptoporin,1
359,Hiramatsu M/Atypical autism,synaptoporin,1
360,Martinez-Rodriguez E/Atypical autism,arginine vasopressin,1
361,Martin-Sanchez A/Atypical autism,arginine vasopressin,1
362,Kul E/Atypical autism,arginine vasopressin,1
363,Bose A/Atypical autism,arginine vasopressin,1
364,Martinez-Martinez FJ/Atypical autism,arginine vasopressin,1
365,Stork O/Atypical autism,arginine vasopressin,1
366,Martinez-Garcia F/Atypical autism,arginine vasopressin,1
367,Lanuza E/Atypical autism,arginine vasopressin,1
368,Santos M/Atypical autism,arginine vasopressin,1
369,Agustin-Pavon C/Atypical autism,arginine vasopressin,1
370,Piras IS/Atypical autism,huntingtin,1
371,Picinelli C/Atypical autism,huntingtin,1
372,Iennaco R/Atypical autism,huntingtin,1
373,Baccarin M/Atypical autism,huntingtin,1
374,Castronovo P/Atypical autism,huntingtin,1
375,Tomaiuolo P/Atypical autism,huntingtin,1
376,Cucinotta F/Atypical autism,huntingtin,1
377,Ricciardello A/Atypical autism,huntingtin,1
378,Turriziani L/Atypical autism,huntingtin,1
379,Nanetti L/Atypical autism,huntingtin,1
380,Mariotti C/Atypical autism,huntingtin,1
381,Gellera C/Atypical autism,huntingtin,1
382,Lintas C/Atypical autism,huntingtin,1
383,Sacco R/Atypical autism,huntingtin,1
384,Zuccato C/Atypical autism,huntingtin,1
385,Cattaneo E/Atypical autism,huntingtin,1
386,Persico AM/Atypical autism,huntingtin,1
387,Caria A/Atypical autism,oxytocin receptor,2
388,Ciringione L/Atypical autism,oxytocin receptor,1
389,Falco S/Atypical autism,oxytocin receptor,1
390,Endres D/Atypical autism,amphiphysin,1
391,Leypoldt F/Atypical autism,amphiphysin,1
392,Bechter K/Atypical autism,amphiphysin,1
393,Hasan A/Atypical autism,amphiphysin,1
394,Steiner J/Atypical autism,amphiphysin,1
395,Domschke K/Atypical autism,amphiphysin,1
396,Wandinger KP/Atypical autism,amphiphysin,1
397,Falkai P/Atypical autism,amphiphysin,1
398,Arolt V/Atypical autism,amphiphysin,1
399,Stich O/Atypical autism,amphiphysin,1
400,Rauer S/Atypical autism,amphiphysin,1
401,Pruss H/Atypical autism,amphiphysin,1
402,van Elst LT/Atypical autism,amphiphysin,1
403,Hacohen-Kleiman G/Atypical autism,glutamate decarboxylase 1,1
404,Yizhar-Barnea O/Atypical autism,glutamate decarboxylase 1,1
405,Touloumi O/Atypical autism,glutamate decarboxylase 1,1
406,Lagoudaki R/Atypical autism,glutamate decarboxylase 1,1
407,Avraham KB/Atypical autism,glutamate decarboxylase 1,1
408,Grigoriadis N/Atypical autism,glutamate decarboxylase 1,1
409,Gozes I/Atypical autism,glutamate decarboxylase 1,1
410,Rendall AR/Atypical autism,SH3 and multiple ankyrin repeat domains 3,1
411,Perrino PA/Atypical autism,SH3 and multiple ankyrin repeat domains 3,1
412,Buscarello AN/Atypical autism,SH3 and multiple ankyrin repeat domains 3,1
413,Fitch RH/Atypical autism,SH3 and multiple ankyrin repeat domains 3,1
414,Sakaguchi Y/Atypical autism,nuclear receptor corepressor 1,1
415,Uehara T/Atypical autism,nuclear receptor corepressor 1,1
416,Suzuki H/Atypical autism,nuclear receptor corepressor 1,1
417,Sakamoto Y/Atypical autism,nuclear receptor corepressor 1,1
418,Fujiwara M/Atypical autism,nuclear receptor corepressor 1,1
419,Kosaki K/Atypical autism,nuclear receptor corepressor 1,1
420,Takenouchi T/Atypical autism,nuclear receptor corepressor 1,1
421,Goel A/Atypical autism,parvalbumin,1
422,Cantu DA/Atypical autism,parvalbumin,1
423,Guilfoyle J/Atypical autism,parvalbumin,1
424,Chaudhari GR/Atypical autism,parvalbumin,1
425,Newadkar A/Atypical autism,parvalbumin,1
426,Todisco B/Atypical autism,parvalbumin,1
427,de Alba D/Atypical autism,parvalbumin,1
428,Kourdougli N/Atypical autism,parvalbumin,1
429,Schmitt LM/Atypical autism,parvalbumin,1
430,Pedapati E/Atypical autism,parvalbumin,1
431,Erickson CA/Atypical autism,parvalbumin,1
432,Portera-Cailliau C/Atypical autism,parvalbumin,2
433,Bariselli S/Atypical autism,neuroligin 3,1
434,Hornberg H/Atypical autism,neuroligin 3,1
435,Prevost-Solie C/Atypical autism,neuroligin 3,1
436,Musardo S/Atypical autism,neuroligin 3,1
437,Hatstatt-Burkle L/Atypical autism,neuroligin 3,1
438,Scheiffele P/Atypical autism,neuroligin 3,1
439,Bellone C/Atypical autism,neuroligin 3,1
440,Sekiya N/Atypical autism,arginine vasopressin,1
441,Awazu M/Atypical autism,arginine vasopressin,1
442,Malik A/Atypical autism,steroid sulfatase,1
443,Amer AB/Atypical autism,steroid sulfatase,1
444,Salama M/Atypical autism,steroid sulfatase,1
445,Haddad B/Atypical autism,steroid sulfatase,1
446,Alrifai MT/Atypical autism,steroid sulfatase,1
447,Balwi MA/Atypical autism,steroid sulfatase,1
448,Davies W/Atypical autism,steroid sulfatase,1
449,Eyaid W/Atypical autism,steroid sulfatase,1
450,Motyl KJ/Atypical autism,prolactin,1
451,Beauchemin M/Atypical autism,prolactin,1
452,Barlow D/Atypical autism,prolactin,1
453,Le PT/Atypical autism,prolactin,1
454,Nagano K/Atypical autism,prolactin,1
455,Treyball A/Atypical autism,prolactin,1
456,Contractor A/Atypical autism,prolactin,2
457,Baron R/Atypical autism,prolactin,1
458,Rosen CJ/Atypical autism,prolactin,1
459,Houseknecht KL/Atypical autism,prolactin,1
460,Burrows EL/Atypical autism,neuroligin 3,1
461,Eastwood AF/Atypical autism,neuroligin 3,1
462,May C/Atypical autism,neuroligin 3,1
463,Kolbe SC/Atypical autism,neuroligin 3,1
464,Hill T/Atypical autism,neuroligin 3,1
465,McLachlan NM/Atypical autism,neuroligin 3,1
466,Churilov L/Atypical autism,neuroligin 3,1
467,Hannan AJ/Atypical autism,neuroligin 3,1
468,Vanwong N/Atypical autism,insulin,3
469,Srisawasdi P/Atypical autism,insulin,2
470,Ngamsamut N/Atypical autism,insulin,3
471,Nuntamool N/Atypical autism,insulin,3
472,Puangpetch A/Atypical autism,insulin,3
473,Chamkrachangpada B/Atypical autism,insulin,2
474,Hongkaew Y/Atypical autism,insulin,3
475,Limsila P/Atypical autism,insulin,3
476,Kittitharaphan W/Atypical autism,insulin,2
477,Sukasem C/Atypical autism,insulin,3
478,Vanwong N/Atypical autism,leptin,3
479,Srisawasdi P/Atypical autism,leptin,2
480,Ngamsamut N/Atypical autism,leptin,3
481,Nuntamool N/Atypical autism,leptin,3
482,Puangpetch A/Atypical autism,leptin,3
483,Chamkrachangpada B/Atypical autism,leptin,2
484,Hongkaew Y/Atypical autism,leptin,3
485,Limsila P/Atypical autism,leptin,3
486,Kittitharaphan W/Atypical autism,leptin,2
487,Sukasem C/Atypical autism,leptin,3
488,Vanwong N/Atypical autism,prolactin,3
489,Prommas S/Atypical autism,prolactin,1
490,Puangpetch A/Atypical autism,prolactin,3
491,Hongkaew Y/Atypical autism,prolactin,3
492,Nuntamool N/Atypical autism,prolactin,3
493,Nakorn CN/Atypical autism,prolactin,1
494,Ngamsamut N/Atypical autism,prolactin,3
495,Limsila P/Atypical autism,prolactin,3
496,Sukasem C/Atypical autism,prolactin,3
497,Preckel K/Atypical autism,oxytocin receptor,1
498,Kanske P/Atypical autism,oxytocin receptor,1
499,Singer T/Atypical autism,oxytocin receptor,1
500,Paulus FM/Atypical autism,oxytocin receptor,1
501,Krach S/Atypical autism,oxytocin receptor,1
502,Reuter M/Atypical autism,oxytocin receptor,1
503,Montag C/Atypical autism,oxytocin receptor,1
504,Altmann S/Atypical autism,oxytocin receptor,1
505,Bendlow F/Atypical autism,oxytocin receptor,1
506,Elger C/Atypical autism,oxytocin receptor,1
507,Kirsch P/Atypical autism,oxytocin receptor,1
508,Becker A/Atypical autism,oxytocin receptor,1
509,Schoch-McGovern S/Atypical autism,oxytocin receptor,1
510,Simon M/Atypical autism,oxytocin receptor,1
511,Weber B/Atypical autism,oxytocin receptor,1
512,Felten A/Atypical autism,oxytocin receptor,1
513,McDonald NM/Atypical autism,oxytocin receptor,1
