id,author/disease,gene,n_articles
1622,Cuccaro ML/Asperger syndrome,islet cell autoantigen 1,2
2756,Gilbert JR/Asperger syndrome,islet cell autoantigen 1,2
6414,Pericak-Vance MA/Asperger syndrome,islet cell autoantigen 1,2
4034,Kent L/Asperger syndrome,insulin,2
568,Baron-Cohen S/Asperger syndrome,insulin,3
8851,Wermter AK/Asperger syndrome,oxytocin receptor,2
3899,Kamp-Becker I/Asperger syndrome,oxytocin receptor,2
7400,Schulte-Korne G/Asperger syndrome,oxytocin receptor,2
7960,Strauch K/Asperger syndrome,oxytocin receptor,2
6860,Remschmidt H/Asperger syndrome,oxytocin receptor,2
1260,Chakrabarti B/Asperger syndrome,homeobox A1,2
4034,Kent L/Asperger syndrome,homeobox A1,2
568,Baron-Cohen S/Asperger syndrome,homeobox A1,3
1205,Castagnola M/Asperger syndrome,statherin,2
5427,Messana I/Asperger syndrome,statherin,2
3605,Inzitari R/Asperger syndrome,statherin,2
2253,Fanali C/Asperger syndrome,statherin,2
1092,Cabras T/Asperger syndrome,statherin,2
5623,Morelli A/Asperger syndrome,statherin,2
6365,Pecoraro AM/Asperger syndrome,statherin,2
5871,Neri G/Asperger syndrome,statherin,2
8341,Torrioli MG/Asperger syndrome,statherin,2
3046,Gurrieri F/Asperger syndrome,statherin,2
1205,Castagnola M/Asperger syndrome,histatin 1,2
5427,Messana I/Asperger syndrome,histatin 1,2
3605,Inzitari R/Asperger syndrome,histatin 1,2
2253,Fanali C/Asperger syndrome,histatin 1,2
1092,Cabras T/Asperger syndrome,histatin 1,2
5623,Morelli A/Asperger syndrome,histatin 1,2
6365,Pecoraro AM/Asperger syndrome,histatin 1,2
5871,Neri G/Asperger syndrome,histatin 1,2
8341,Torrioli MG/Asperger syndrome,histatin 1,2
3046,Gurrieri F/Asperger syndrome,histatin 1,2
1544,Cook EH Jr/Asperger syndrome,neuroligin 3,2
8851,Wermter AK/Asperger syndrome,neuroligin 3,2
3899,Kamp-Becker I/Asperger syndrome,neuroligin 3,2
7960,Strauch K/Asperger syndrome,neuroligin 3,2
7400,Schulte-Korne G/Asperger syndrome,neuroligin 3,2
6860,Remschmidt H/Asperger syndrome,neuroligin 3,2
1544,Cook EH Jr/Asperger syndrome,homeobox A1,2
1168,Caria A/Atypical autism,arginine vasopressin,2
7692,Simpson D/Atypical autism,translocator protein,2
2727,Gharehgazlou A/Atypical autism,translocator protein,2
1668,Da Silva T/Atypical autism,translocator protein,2
4438,Labrie-Cleary C/Atypical autism,translocator protein,2
8918,Wilson AA/Atypical autism,translocator protein,2
5439,Meyer JH/Atypical autism,translocator protein,2
5543,Mizrahi R/Atypical autism,translocator protein,2
7105,Rusjan PM/Atypical autism,translocator protein,2
7692,Simpson D/Atypical autism,multiple sclerosis,2
2727,Gharehgazlou A/Atypical autism,multiple sclerosis,2
1668,Da Silva T/Atypical autism,multiple sclerosis,2
4438,Labrie-Cleary C/Atypical autism,multiple sclerosis,2
8918,Wilson AA/Atypical autism,multiple sclerosis,2
5439,Meyer JH/Atypical autism,multiple sclerosis,2
5543,Mizrahi R/Atypical autism,multiple sclerosis,2
7105,Rusjan PM/Atypical autism,multiple sclerosis,2
1541,Contractor A/Atypical autism,parvalbumin,2
2204,Ethell IM/Atypical autism,parvalbumin,2
6580,Portera-Cailliau C/Atypical autism,parvalbumin,2
2204,Ethell IM/Atypical autism,parvalbumin,2
1168,Caria A/Atypical autism,oxytocin receptor,2
6580,Portera-Cailliau C/Atypical autism,parvalbumin,2
1541,Contractor A/Atypical autism,prolactin,2
8547,Vanwong N/Atypical autism,insulin,3
7881,Srisawasdi P/Atypical autism,insulin,2
5892,Ngamsamut N/Atypical autism,insulin,3
5992,Nuntamool N/Atypical autism,insulin,3
6649,Puangpetch A/Atypical autism,insulin,3
1266,Chamkrachangpada B/Atypical autism,insulin,2
3403,Hongkaew Y/Atypical autism,insulin,3
4748,Limsila P/Atypical autism,insulin,3
4149,Kittitharaphan W/Atypical autism,insulin,2
8005,Sukasem C/Atypical autism,insulin,3
8547,Vanwong N/Atypical autism,leptin,3
7881,Srisawasdi P/Atypical autism,leptin,2
5892,Ngamsamut N/Atypical autism,leptin,3
5992,Nuntamool N/Atypical autism,leptin,3
6649,Puangpetch A/Atypical autism,leptin,3
1266,Chamkrachangpada B/Atypical autism,leptin,2
3403,Hongkaew Y/Atypical autism,leptin,3
4748,Limsila P/Atypical autism,leptin,3
4149,Kittitharaphan W/Atypical autism,leptin,2
8005,Sukasem C/Atypical autism,leptin,3
8547,Vanwong N/Atypical autism,prolactin,3
6649,Puangpetch A/Atypical autism,prolactin,3
3403,Hongkaew Y/Atypical autism,prolactin,3
5992,Nuntamool N/Atypical autism,prolactin,3
5892,Ngamsamut N/Atypical autism,prolactin,3
4748,Limsila P/Atypical autism,prolactin,3
8005,Sukasem C/Atypical autism,prolactin,3
1312,Chen C/Atypical autism,lactase,2
1312,Chen C/Atypical autism,androgen receptor,2
4741,Lim KC/Atypical autism,TBC1 domain family member 7,3
1603,Crino PB/Atypical autism,TBC1 domain family member 7,3
4741,Lim KC/Atypical autism,glial fibrillary acidic protein,3
1603,Crino PB/Atypical autism,glial fibrillary acidic protein,3
4741,Lim KC/Atypical autism,phosphatase and tensin homolog,3
1603,Crino PB/Atypical autism,phosphatase and tensin homolog,3
4172,Kliushnik TP/Atypical autism,C-reactive protein,2
276,Androsova LV/Atypical autism,C-reactive protein,2
7676,Simashkova NV/Atypical autism,C-reactive protein,2
9461,Zozulia SA/Atypical autism,C-reactive protein,2
6146,Otman IN/Atypical autism,C-reactive protein,2
4289,Koval'-Zaitsev AA/Atypical autism,C-reactive protein,2
4172,Kliushnik TP/Atypical autism,nerve growth factor,2
276,Androsova LV/Atypical autism,nerve growth factor,2
7676,Simashkova NV/Atypical autism,nerve growth factor,2
9461,Zozulia SA/Atypical autism,nerve growth factor,2
6146,Otman IN/Atypical autism,nerve growth factor,2
4289,Koval'-Zaitsev AA/Atypical autism,nerve growth factor,2
6613,Presti-Torres J/Atypical autism,gastrin,2
2632,Garcia VA/Atypical autism,gastrin,2
1988,Dornelles A/Atypical autism,gastrin,2
3100,Halmenschlager LH/Atypical autism,gastrin,2
144,Alcalde LA/Atypical autism,gastrin,2
8567,Vedana G/Atypical autism,gastrin,2
6910,Rico EP/Atypical autism,gastrin,2
832,Bogo MR/Atypical autism,gastrin,2
7412,Schwartsmann G/Atypical autism,gastrin,2
6998,Roesler R/Atypical autism,gastrin,2
7390,Schroder N/Atypical autism,gastrin,2
6613,Presti-Torres J/Atypical autism,epidermal growth factor,2
2632,Garcia VA/Atypical autism,epidermal growth factor,2
1988,Dornelles A/Atypical autism,epidermal growth factor,2
3100,Halmenschlager LH/Atypical autism,epidermal growth factor,2
144,Alcalde LA/Atypical autism,epidermal growth factor,2
8567,Vedana G/Atypical autism,epidermal growth factor,2
6910,Rico EP/Atypical autism,epidermal growth factor,2
832,Bogo MR/Atypical autism,epidermal growth factor,2
7412,Schwartsmann G/Atypical autism,epidermal growth factor,2
6998,Roesler R/Atypical autism,epidermal growth factor,2
7390,Schroder N/Atypical autism,epidermal growth factor,2
2119,Elbe D/Atypical autism,prolactin,2
8851,Wermter AK/Atypical autism,oxytocin receptor,2
3899,Kamp-Becker I/Atypical autism,oxytocin receptor,2
7400,Schulte-Korne G/Atypical autism,oxytocin receptor,2
7960,Strauch K/Atypical autism,oxytocin receptor,2
6860,Remschmidt H/Atypical autism,oxytocin receptor,2
2119,Elbe D/Atypical autism,prolactin,2
8851,Wermter AK/Atypical autism,neuroligin 3,2
3899,Kamp-Becker I/Atypical autism,neuroligin 3,2
7960,Strauch K/Atypical autism,neuroligin 3,2
7400,Schulte-Korne G/Atypical autism,neuroligin 3,2
6860,Remschmidt H/Atypical autism,neuroligin 3,2
7428,Scott SR/Autism spectrum disorder,leptin,3
5502,Millwood SN/Autism spectrum disorder,leptin,3
5061,Manczak EM/Autism spectrum disorder,leptin,3
7428,Scott SR/Autism spectrum disorder,resistin,3
5502,Millwood SN/Autism spectrum disorder,resistin,3
5061,Manczak EM/Autism spectrum disorder,resistin,3
7428,Scott SR/Autism spectrum disorder,apelin,3
5502,Millwood SN/Autism spectrum disorder,apelin,3
5061,Manczak EM/Autism spectrum disorder,apelin,3
5646,Morimoto M/Autism spectrum disorder,C-reactive protein,3
3197,Hashimoto T/Autism spectrum disorder,C-reactive protein,3
8424,Tsuda Y/Autism spectrum disorder,C-reactive protein,3
7996,Suenaga M/Autism spectrum disorder,C-reactive protein,3
5806,Nakamura T/Autism spectrum disorder,C-reactive protein,3
3981,Katoh S/Autism spectrum disorder,C-reactive protein,3
5646,Morimoto M/Autism spectrum disorder,prolactin,3
3197,Hashimoto T/Autism spectrum disorder,prolactin,3
8424,Tsuda Y/Autism spectrum disorder,prolactin,3
7996,Suenaga M/Autism spectrum disorder,prolactin,3
5806,Nakamura T/Autism spectrum disorder,prolactin,3
3981,Katoh S/Autism spectrum disorder,prolactin,3
5646,Morimoto M/Autism spectrum disorder,albumin,3
3197,Hashimoto T/Autism spectrum disorder,albumin,3
8424,Tsuda Y/Autism spectrum disorder,albumin,3
7996,Suenaga M/Autism spectrum disorder,albumin,3
5806,Nakamura T/Autism spectrum disorder,albumin,3
3981,Katoh S/Autism spectrum disorder,albumin,3
9353,Zhang X/Autism spectrum disorder,glutaminase,7
4817,Liu S/Autism spectrum disorder,glutaminase,2
4823,Liu X/Autism spectrum disorder,glutaminase,7
8740,Wang J/Autism spectrum disorder,glutaminase,3
9337,Zhang H/Autism spectrum disorder,biotinidase,6
8170,Tang X/Autism spectrum disorder,biotinidase,2
2317,Feng C/Autism spectrum disorder,biotinidase,2
2623,Gao Y/Autism spectrum disorder,biotinidase,2
3399,Hong Q/Autism spectrum disorder,biotinidase,2
9339,Zhang J/Autism spectrum disorder,biotinidase,4
9353,Zhang X/Autism spectrum disorder,biotinidase,7
9382,Zheng Q/Autism spectrum disorder,biotinidase,2
4752,Lin J/Autism spectrum disorder,biotinidase,5
4823,Liu X/Autism spectrum disorder,biotinidase,7
7563,Shen L/Autism spectrum disorder,biotinidase,2
9337,Zhang H/Autism spectrum disorder,insulin,6
8170,Tang X/Autism spectrum disorder,insulin,2
2317,Feng C/Autism spectrum disorder,insulin,2
2623,Gao Y/Autism spectrum disorder,insulin,2
3399,Hong Q/Autism spectrum disorder,insulin,2
9339,Zhang J/Autism spectrum disorder,insulin,4
9353,Zhang X/Autism spectrum disorder,insulin,7
9382,Zheng Q/Autism spectrum disorder,insulin,2
4752,Lin J/Autism spectrum disorder,insulin,5
4823,Liu X/Autism spectrum disorder,insulin,7
7563,Shen L/Autism spectrum disorder,insulin,2
138,Albayrak Y/Autism spectrum disorder,tumor necrosis factor,2
2158,Erbas O/Autism spectrum disorder,tumor necrosis factor,5
6081,Okuzono S/Autism spectrum disorder,SH3 and multiple ankyrin repeat domains 3,2
2544,Fujii F/Autism spectrum disorder,SH3 and multiple ankyrin repeat domains 3,2
5228,Matsushita Y/Autism spectrum disorder,SH3 and multiple ankyrin repeat domains 3,2
7500,Setoyama D/Autism spectrum disorder,SH3 and multiple ankyrin repeat domains 3,2
7616,Shinmyo Y/Autism spectrum disorder,SH3 and multiple ankyrin repeat domains 3,2
8106,Taira R/Autism spectrum disorder,SH3 and multiple ankyrin repeat domains 3,2
9211,Yonemoto K/Autism spectrum disorder,SH3 and multiple ankyrin repeat domains 3,2
96,Akamine S/Autism spectrum disorder,SH3 and multiple ankyrin repeat domains 3,2
5679,Motomura Y/Autism spectrum disorder,SH3 and multiple ankyrin repeat domains 3,2
7228,Sanefuji M/Autism spectrum disorder,SH3 and multiple ankyrin repeat domains 3,2
7187,Sakurai T/Autism spectrum disorder,SH3 and multiple ankyrin repeat domains 3,2
3999,Kawasaki H/Autism spectrum disorder,SH3 and multiple ankyrin repeat domains 3,2
3130,Han K/Autism spectrum disorder,SH3 and multiple ankyrin repeat domains 3,2
3979,Kato TA/Autism spectrum disorder,SH3 and multiple ankyrin repeat domains 3,2
8330,Torisu H/Autism spectrum disorder,SH3 and multiple ankyrin repeat domains 3,2
3911,Kang D/Autism spectrum disorder,SH3 and multiple ankyrin repeat domains 3,2
5801,Nakabeppu Y/Autism spectrum disorder,SH3 and multiple ankyrin repeat domains 3,2
7177,Sakai Y/Autism spectrum disorder,SH3 and multiple ankyrin repeat domains 3,2
6053,Ohga S/Autism spectrum disorder,SH3 and multiple ankyrin repeat domains 3,2
6081,Okuzono S/Autism spectrum disorder,parvalbumin,2
2544,Fujii F/Autism spectrum disorder,parvalbumin,2
5228,Matsushita Y/Autism spectrum disorder,parvalbumin,2
7500,Setoyama D/Autism spectrum disorder,parvalbumin,2
7616,Shinmyo Y/Autism spectrum disorder,parvalbumin,2
8106,Taira R/Autism spectrum disorder,parvalbumin,2
9211,Yonemoto K/Autism spectrum disorder,parvalbumin,2
96,Akamine S/Autism spectrum disorder,parvalbumin,2
5679,Motomura Y/Autism spectrum disorder,parvalbumin,2
7228,Sanefuji M/Autism spectrum disorder,parvalbumin,2
7187,Sakurai T/Autism spectrum disorder,parvalbumin,2
3999,Kawasaki H/Autism spectrum disorder,parvalbumin,2
3130,Han K/Autism spectrum disorder,parvalbumin,2
3979,Kato TA/Autism spectrum disorder,parvalbumin,2
8330,Torisu H/Autism spectrum disorder,parvalbumin,2
3911,Kang D/Autism spectrum disorder,parvalbumin,2
5801,Nakabeppu Y/Autism spectrum disorder,parvalbumin,2
7177,Sakai Y/Autism spectrum disorder,parvalbumin,2
6053,Ohga S/Autism spectrum disorder,parvalbumin,2
9346,Zhang P/Autism spectrum disorder,insulin,3
9342,Zhang L/Autism spectrum disorder,secretin,2
1319,Chen J/Autism spectrum disorder,synaptophysin,5
9337,Zhang H/Autism spectrum disorder,synaptophysin,6
8162,Tang B/Autism spectrum disorder,synaptophysin,2
4709,Li Y/Autism spectrum disorder,synaptophysin,3
8245,Thomas SD/Autism spectrum disorder,phosphatase and tensin homolog,2
7136,Sadek B/Autism spectrum disorder,phosphatase and tensin homolog,4
1682,Dai S/Autism spectrum disorder,adenosine deaminase,2
4752,Lin J/Autism spectrum disorder,adenosine deaminase,5
3434,Hou Y/Autism spectrum disorder,adenosine deaminase,2
4919,Luo X/Autism spectrum disorder,adenosine deaminase,2
7566,Shen Y/Autism spectrum disorder,adenosine deaminase,2
6154,Ou J/Autism spectrum disorder,adenosine deaminase,2
1682,Dai S/Autism spectrum disorder,adenylosuccinate lyase,2
4752,Lin J/Autism spectrum disorder,adenylosuccinate lyase,5
3434,Hou Y/Autism spectrum disorder,adenylosuccinate lyase,2
4919,Luo X/Autism spectrum disorder,adenylosuccinate lyase,2
7566,Shen Y/Autism spectrum disorder,adenylosuccinate lyase,2
6154,Ou J/Autism spectrum disorder,adenylosuccinate lyase,2
4677,Li C/Autism spectrum disorder,multiple sclerosis,3
8759,Wang Y/Autism spectrum disorder,multiple sclerosis,7
9422,Zhu Y/Autism spectrum disorder,multiple sclerosis,2
5256,Mazon-Cabrera R/Autism spectrum disorder,ribosomal protein L23,2
4735,Liesenborgs J/Autism spectrum disorder,ribosomal protein L23,2
971,Brone B/Autism spectrum disorder,ribosomal protein L23,2
8544,Vandormael P/Autism spectrum disorder,ribosomal protein L23,2
7814,Somers V/Autism spectrum disorder,ribosomal protein L23,2
5256,Mazon-Cabrera R/Autism spectrum disorder,glyceraldehyde-3-phosphate dehydrogenase,2
4735,Liesenborgs J/Autism spectrum disorder,glyceraldehyde-3-phosphate dehydrogenase,2
971,Brone B/Autism spectrum disorder,glyceraldehyde-3-phosphate dehydrogenase,2
8544,Vandormael P/Autism spectrum disorder,glyceraldehyde-3-phosphate dehydrogenase,2
7814,Somers V/Autism spectrum disorder,glyceraldehyde-3-phosphate dehydrogenase,2
5834,Nascimento A/Autism spectrum disorder,dystrophin,2
992,Bruels CC/Autism spectrum disorder,dystrophin,2
1980,Donkervoort S/Autism spectrum disorder,dystrophin,2
2425,Foley AR/Autism spectrum disorder,dystrophin,2
1493,Codina A/Autism spectrum disorder,dystrophin,2
5488,Milisenda JC/Autism spectrum disorder,dystrophin,2
2198,Estrella EA/Autism spectrum disorder,dystrophin,2
4677,Li C/Autism spectrum disorder,dystrophin,3
6494,Pijuan J/Autism spectrum disorder,dystrophin,2
2004,Draper I/Autism spectrum disorder,dystrophin,2
3473,Hu Y/Autism spectrum disorder,dystrophin,3
7891,Stafki SA/Autism spectrum disorder,dystrophin,2
6202,Pais LS/Autism spectrum disorder,dystrophin,2
2610,Ganesh VS/Autism spectrum disorder,dystrophin,2
6006,O'Donnell-Luria A/Autism spectrum disorder,dystrophin,2
8073,Syeda SB/Autism spectrum disorder,dystrophin,2
1184,Carrera-Garcia L/Autism spectrum disorder,dystrophin,2
2213,Exposito-Escudero J/Autism spectrum disorder,dystrophin,2
9260,Yubero D/Autism spectrum disorder,dystrophin,2
5179,Martorell L/Autism spectrum disorder,dystrophin,2
6500,Pinal-Fernandez I/Autism spectrum disorder,dystrophin,2
4733,Lidov HGW/Autism spectrum disorder,dystrophin,2
5056,Mammen AL/Autism spectrum disorder,dystrophin,2
2923,Grau-Junyent JM/Autism spectrum disorder,dystrophin,2
6127,Ortez C/Autism spectrum disorder,dystrophin,2
6210,Palau F/Autism spectrum disorder,dystrophin,2
2736,Ghosh PS/Autism spectrum disorder,dystrophin,2
1716,Darras BT/Autism spectrum disorder,dystrophin,2
3831,Jou C/Autism spectrum disorder,dystrophin,2
4385,Kunkel LM/Autism spectrum disorder,dystrophin,2
3365,Hoenicka J/Autism spectrum disorder,dystrophin,2
853,Bonnemann CG/Autism spectrum disorder,dystrophin,2
3918,Kang PB/Autism spectrum disorder,dystrophin,2
5839,Natera-de Benito D/Autism spectrum disorder,dystrophin,2
5834,Nascimento A/Autism spectrum disorder,utrophin,2
992,Bruels CC/Autism spectrum disorder,utrophin,2
1980,Donkervoort S/Autism spectrum disorder,utrophin,2
2425,Foley AR/Autism spectrum disorder,utrophin,2
1493,Codina A/Autism spectrum disorder,utrophin,2
5488,Milisenda JC/Autism spectrum disorder,utrophin,2
2198,Estrella EA/Autism spectrum disorder,utrophin,2
4677,Li C/Autism spectrum disorder,utrophin,3
6494,Pijuan J/Autism spectrum disorder,utrophin,2
2004,Draper I/Autism spectrum disorder,utrophin,2
3473,Hu Y/Autism spectrum disorder,utrophin,3
7891,Stafki SA/Autism spectrum disorder,utrophin,2
6202,Pais LS/Autism spectrum disorder,utrophin,2
2610,Ganesh VS/Autism spectrum disorder,utrophin,2
6006,O'Donnell-Luria A/Autism spectrum disorder,utrophin,2
8073,Syeda SB/Autism spectrum disorder,utrophin,2
1184,Carrera-Garcia L/Autism spectrum disorder,utrophin,2
2213,Exposito-Escudero J/Autism spectrum disorder,utrophin,2
9260,Yubero D/Autism spectrum disorder,utrophin,2
5179,Martorell L/Autism spectrum disorder,utrophin,2
6500,Pinal-Fernandez I/Autism spectrum disorder,utrophin,2
4733,Lidov HGW/Autism spectrum disorder,utrophin,2
5056,Mammen AL/Autism spectrum disorder,utrophin,2
2923,Grau-Junyent JM/Autism spectrum disorder,utrophin,2
6127,Ortez C/Autism spectrum disorder,utrophin,2
6210,Palau F/Autism spectrum disorder,utrophin,2
2736,Ghosh PS/Autism spectrum disorder,utrophin,2
1716,Darras BT/Autism spectrum disorder,utrophin,2
3831,Jou C/Autism spectrum disorder,utrophin,2
4385,Kunkel LM/Autism spectrum disorder,utrophin,2
3365,Hoenicka J/Autism spectrum disorder,utrophin,2
853,Bonnemann CG/Autism spectrum disorder,utrophin,2
3918,Kang PB/Autism spectrum disorder,utrophin,2
5839,Natera-de Benito D/Autism spectrum disorder,utrophin,2
7687,Simone M/Autism spectrum disorder,glial fibrillary acidic protein,2
1762,De Giacomo A/Autism spectrum disorder,glial fibrillary acidic protein,2
5186,Marzulli L/Autism spectrum disorder,glial fibrillary acidic protein,2
8740,Wang J/Autism spectrum disorder,insulin,3
9353,Zhang X/Autism spectrum disorder,insulin,7
9345,Zhang N/Autism spectrum disorder,insulin,2
3963,Kashii H/Autism spectrum disorder,signal transducer and activator of transcription 3,2
3961,Kasai S/Autism spectrum disorder,signal transducer and activator of transcription 3,2
7283,Sato A/Autism spectrum disorder,signal transducer and activator of transcription 3,2
3081,Hagino Y/Autism spectrum disorder,signal transducer and activator of transcription 3,2
5948,Nishito Y/Autism spectrum disorder,signal transducer and activator of transcription 3,2
4193,Kobayashi T/Autism spectrum disorder,signal transducer and activator of transcription 3,2
3335,Hino O/Autism spectrum disorder,signal transducer and activator of transcription 3,2
5545,Mizuguchi M/Autism spectrum disorder,signal transducer and activator of transcription 3,2
3570,Ikeda K/Autism spectrum disorder,signal transducer and activator of transcription 3,2
3963,Kashii H/Autism spectrum disorder,interferon regulatory factor 4,2
3961,Kasai S/Autism spectrum disorder,interferon regulatory factor 4,2
7283,Sato A/Autism spectrum disorder,interferon regulatory factor 4,2
3081,Hagino Y/Autism spectrum disorder,interferon regulatory factor 4,2
5948,Nishito Y/Autism spectrum disorder,interferon regulatory factor 4,2
4193,Kobayashi T/Autism spectrum disorder,interferon regulatory factor 4,2
3335,Hino O/Autism spectrum disorder,interferon regulatory factor 4,2
5545,Mizuguchi M/Autism spectrum disorder,interferon regulatory factor 4,2
3570,Ikeda K/Autism spectrum disorder,interferon regulatory factor 4,2
2113,El-Ansary A/Autism spectrum disorder,tumor necrosis factor,2
8737,Wang H/Autism spectrum disorder,cortactin,4
9353,Zhang X/Autism spectrum disorder,cortactin,7
4698,Li S/Autism spectrum disorder,cortactin,3
1312,Chen C/Autism spectrum disorder,cortactin,2
8761,Wang Z/Autism spectrum disorder,cortactin,4
8744,Wang M/Autism spectrum disorder,cortactin,2
776,Bilgic A/Autism spectrum disorder,occludin,3
2332,Ferahkaya H/Autism spectrum disorder,occludin,3
3939,Karagoz H/Autism spectrum disorder,occludin,3
4079,Kilinc I/Autism spectrum disorder,occludin,4
2145,Energin VM/Autism spectrum disorder,occludin,3
776,Bilgic A/Autism spectrum disorder,vinculin,3
2332,Ferahkaya H/Autism spectrum disorder,vinculin,3
3939,Karagoz H/Autism spectrum disorder,vinculin,3
4079,Kilinc I/Autism spectrum disorder,vinculin,4
2145,Energin VM/Autism spectrum disorder,vinculin,3
776,Bilgic A/Autism spectrum disorder,paxillin,3
2332,Ferahkaya H/Autism spectrum disorder,paxillin,3
3939,Karagoz H/Autism spectrum disorder,paxillin,3
4079,Kilinc I/Autism spectrum disorder,paxillin,4
2145,Energin VM/Autism spectrum disorder,paxillin,3
6780,Ranjbar M/Autism spectrum disorder,catalase,3
2146,Eng C/Autism spectrum disorder,phosphatase and tensin homolog,2
8245,Thomas SD/Autism spectrum disorder,tumor necrosis factor,2
3714,Jayaprakash P/Autism spectrum disorder,tumor necrosis factor,2
7136,Sadek B/Autism spectrum disorder,tumor necrosis factor,4
2165,Erdogan MA/Autism spectrum disorder,insulin,4
906,Bozkurt MF/Autism spectrum disorder,insulin,3
2158,Erbas O/Autism spectrum disorder,insulin,5
4823,Liu X/Autism spectrum disorder,WD repeat domain 62,7
9332,Zhang D/Autism spectrum disorder,WD repeat domain 62,3
8759,Wang Y/Autism spectrum disorder,WD repeat domain 62,7
6780,Ranjbar M/Autism spectrum disorder,erythropoietin,3
3295,Hermans RA/Autism spectrum disorder,prolactin,2
6925,Ringeling LT/Autism spectrum disorder,prolactin,2
4724,Liang K/Autism spectrum disorder,prolactin,2
4175,Kloosterboer SM/Autism spectrum disorder,prolactin,2
9523,de Winter BCM/Autism spectrum disorder,prolactin,2
3324,Hillegers MHJ/Autism spectrum disorder,prolactin,2
4198,Koch BCP/Autism spectrum disorder,prolactin,2
1919,Dierckx B/Autism spectrum disorder,prolactin,2
3295,Hermans RA/Autism spectrum disorder,leptin,2
6925,Ringeling LT/Autism spectrum disorder,leptin,2
4724,Liang K/Autism spectrum disorder,leptin,2
4175,Kloosterboer SM/Autism spectrum disorder,leptin,2
9523,de Winter BCM/Autism spectrum disorder,leptin,2
3324,Hillegers MHJ/Autism spectrum disorder,leptin,2
4198,Koch BCP/Autism spectrum disorder,leptin,2
1919,Dierckx B/Autism spectrum disorder,leptin,2
9356,Zhang Z/Autism spectrum disorder,neuroligin 2,3
3432,Hou M/Autism spectrum disorder,neuroligin 2,2
6153,Ou H/Autism spectrum disorder,neuroligin 2,2
8732,Wang D/Autism spectrum disorder,neuroligin 2,3
4713,Li Z/Autism spectrum disorder,neuroligin 2,4
9337,Zhang H/Autism spectrum disorder,neuroligin 2,6
4888,Lu J/Autism spectrum disorder,neuroligin 2,3
9356,Zhang Z/Autism spectrum disorder,neuroligin 3,3
3432,Hou M/Autism spectrum disorder,neuroligin 3,2
6153,Ou H/Autism spectrum disorder,neuroligin 3,2
8732,Wang D/Autism spectrum disorder,neuroligin 3,3
4713,Li Z/Autism spectrum disorder,neuroligin 3,4
9337,Zhang H/Autism spectrum disorder,neuroligin 3,6
4888,Lu J/Autism spectrum disorder,neuroligin 3,3
